1.019204777684695125e+08 6.172152073680789997e+00 1.660708944344692782e+03 1.916821033524056053e+29 5.644616740474356289e+22 1.705582764581046000e+16 1.876885530243488180e-04 3.461623667360509038e+08 2.156798627077219035e-05
1.170111520857977718e+08 3.676002510782821364e+00 1.704099424701448925e+03 2.093441539125969949e+29 8.246277318145567254e+22 6.819475831604833000e+15 1.827185923578334467e-04 1.725225591275978982e+08 1.117957234739164795e-05
1.346452135180225074e+08 2.282594516961866216e+00 1.732923027225781652e+03 2.358986011081415173e+29 1.172747839847259208e+23 3.042016989912458000e+15 1.675174621577365348e-04 9.335534929607047141e+07 6.103737260878906540e-06
1.519536875230795443e+08 1.608814093305332094e+00 1.798446873431188806e+03 2.696662319776520155e+29 1.708221222774100931e+23 1.583232661664602000e+15 1.962461705870139337e-04 6.148826649267192930e+07 4.479855710591919902e-06
1.729768219210198224e+08 1.103205512407024358e+00 1.824018069918604851e+03 3.127195480543054365e+29 2.374061603004238896e+23 8.481975722318251250e+14 1.845896310284529651e-04 3.921014904321630299e+07 2.888315170267080203e-06
1.943017094251897037e+08 8.165354282440253630e-01 1.875754904365778430e+03 3.628662174361909009e+29 3.302486455794266014e+23 4.961457978845240625e+14 2.041466841117669845e-04 2.802810527292814851e+07 2.232785654160589700e-06
2.139469277894468904e+08 6.511589746577259863e-01 1.944083686651521930e+03 4.171359923525406317e+29 4.630336799008223176e+23 3.183324918596581250e+14 2.512195028590111668e-04 2.217025844671825320e+07 1.986485302985605632e-06
2.422950389505940676e+08 4.698785371731149518e-01 1.953276536199005932e+03 4.894422338781578240e+29 6.045780229058841281e+23 1.928113449564190625e+14 2.228436490303790224e-04 1.537299207251157984e+07 1.351931086503597753e-06
2.629839829483118951e+08 3.948442148959825371e-01 2.023455063502022995e+03 5.573779748761270463e+29 8.248231087311438049e+23 1.346397710952375156e+14 2.801971162605868112e-04 1.303807235213138163e+07 1.295161046670402061e-06
2.839756985893769264e+08 3.368817152625794842e-01 2.092814255208469149e+03 6.312802043433147611e+29 1.107454343283506107e+24 9.672415294763554688e+13 3.498176208668649068e-04 1.126323387155111320e+07 1.257996213417569444e-06
3.300315541341842413e+08 2.314226802275636541e-01 2.191501982280538869e+03 7.879116973071705144e+29 1.807497419211434170e+24 5.077426978450320312e+13 4.378136892855521967e-04 7.803782294704519212e+06 9.641166885360725242e-07
3.618613391390616894e+08 1.760212862589098093e-01 2.309397937861765968e+03 8.900209275427874546e+29 2.664531992478987527e+24 3.208250067884614453e+13 6.088376265397507300e-04 6.109817159388229251e+06 8.268927977694483255e-07
4.037225415517443419e+08 1.144079851510871881e-01 2.386169271025850776e+03 9.842741101020242871e+29 3.765551837283615811e+24 1.920025036900837891e+13 6.578734564053285777e-04 4.002396432597715873e+06 4.955905630496541668e-07
4.354947913881328106e+08 8.287713314295772071e-02 2.491070390898702954e+03 1.056922396040625045e+30 5.187209802833301462e+24 1.349076038365334766e+13 8.207396279151636751e-04 2.980825836164135486e+06 3.594336477238051955e-07
4.612780230148542523e+08 6.384968980149809126e-02 2.604847251733741814e+03 1.121567220269251993e+30 7.022956932968581616e+24 1.041228185835933203e+13 1.068886599211640170e-03 2.376653781216468662e+06 2.861617072391600845e-07
4.947052900002064705e+08 4.403223642612745514e-02 2.716060077309396092e+03 1.185070950347425691e+30 9.367638248984037743e+24 8.092193677661143555e+12 1.284829985985892677e-03 1.690689451769092120e+06 1.850254405671758146e-07
5.232515647892849445e+08 3.164239381236538112e-02 2.827904424581009607e+03 1.244742357714429664e+30 1.232823515370370710e+25 6.751873004118230469e+12 1.553484059496062749e-03 1.255646148427536013e+06 1.256197734452921088e-07
5.480707197390195131e+08 2.355146659168907280e-02 2.948791850961552427e+03 1.302584524377805173e+30 1.602797673872054632e+25 5.875738678184504883e+12 1.931098719980779439e-03 9.693565938969887793e+05 9.026615584580577076e-08
